# api-surface-v1
# name	kind
AccessibilityProps	type
AlignItems	type
AlignSelf	type
AnimationCompleteEvent	type
Appearance	type
AppearanceStore	type
ApplicationDefinition	type
ApplicationOptions	type
BoxShadow	type
BoxShadowInput	type
ByteInput	type
ByteInputEventListener	type
ByteInputListener	type
ByteOutput	type
ByteOutputEventListener	type
ClipboardImage	type
ClipboardImageFormat	type
createAppearanceStore	value
createExtensionElement	value
createHostElement	value
createProcessTerminationHandler	value
createRoot	value
createStyleSheet	value
createSurfaceHost	value
createWindowSizeStore	value
CursorStyle	type
DEFAULT_MAX_PENDING_BYTES	value
defineExtensionComponent	value
DragDropHandler	type
Draggable	type
DragOverHandler	type
DrainListener	type
ExitFunction	type
ExtensionComponentProps	type
ExtensionDescriptor	type
ExtensionEvent	type
ExtensionEventHandler	type
ExtensionField	type
ExtensionProperties	type
ExtensionProps	type
ExtensionValue	type
ExternalFileDropHandler	type
FlexDirection	type
FocusEvent	type
FocusHandler	type
FontStyle	type
FontWeight	type
HostKind	type
HostNode	type
Icon	value
ICON_NAMES	value
IconName	type
IconProps	type
Image	value
ImageObjectFit	type
ImageProps	type
JustifyContent	type
KeyAction	type
Keybinding	type
KeyEvent	type
KeyHandler	type
LayoutFrame	type
LayoutHandler	type
MemoryTransport	both
MenuDefinition	type
MenuItem	type
mountApplication	value
MountedApplication	type
NamedStyles	type
NotificationAction	type
NotificationOptions	type
NotificationResponse	type
NotificationResponseHandler	type
Overflow	type
PickFilesOptions	type
PickSavePathOptions	type
PointerButton	type
PointerDownOutsideEvent	type
PointerDownOutsideHandler	type
PointerEvent	type
PointerHandler	type
PointerMoveEvent	type
PointerMoveHandler	type
Position	type
Pressable	value
PressableProps	type
PressEventType	type
PressHandler	type
Root	type
RootOptions	type
ScrollDeltaKind	type
ScrollEvent	type
ScrollHandler	type
SolidChild	type
SolidElement	type
solidRenderer	value
StdioTransport	both
StdioTransportOptions	type
Style	type
StyleProp	type
StyleSheet	value
SurfaceClosedError	both
SurfaceHost	type
SurfaceHostOptions	type
SurfaceIdReusedError	both
SurfaceKind	type
SurfaceOpenOptions	type
SurfaceOptions	type
Text	value
TextAlign	type
TextDecoration	type
TextInput	value
TextInputHandle	type
TextInputProps	type
TextProps	type
Transition	type
TransitionEasing	type
TransitionProperty	type
Transport	type
TransportChunk	type
TransportListener	type
TransportTerminatedError	both
TransportTerminationCause	type
TransportTerminationDetails	type
TransportTerminationListener	type
useAppearance	value
useWindowSize	value
View	value
ViewHandle	type
ViewProps	type
VirtualList	value
VirtualListHandle	type
VirtualListProps	type
WindowActivationHandler	type
WindowResizeHandler	type
WindowSize	type
WindowSizeStore	type
